"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.551794177E2,6.151071251E1,2.361152197E1,1.325621250E2,1.889999986E0,1.853999939E2,3.790092468E0,2.500000000E0
1.561800501E2,6.151069693E1,2.361151776E1,1.323372590E2,1.889999986E0,1.843999939E2,3.790092468E0,2.500000000E0
1.571796304E2,6.151068153E1,2.361151394E1,1.322250641E2,1.850000024E0,1.833000031E2,3.790092468E0,2.500000000E0
1.581793874E2,6.151066658E1,2.361151040E1,1.321671299E2,1.830000043E0,1.826000061E2,3.790092468E0,2.500000000E0
1.591794840E2,6.151065078E1,2.361150757E1,1.327634919E2,1.879999995E0,1.831999969E2,3.790092468E0,2.500000000E0
1.601797911E2,6.151063554E1,2.361150438E1,1.328331209E2,1.840000033E0,1.840000000E2,3.790092468E0,2.500000000E0
1.611796725E2,6.151061865E1,2.361149930E1,1.331097797E2,1.929999948E0,1.883000031E2,3.790092468E0,2.500000000E0
1.621793762E2,6.151060063E1,2.361149331E1,1.332683957E2,1.899999976E0,1.905000000E2,3.790092468E0,2.500000000E0
1.631796639E2,6.151058341E1,2.361148627E1,1.331089580E2,1.909999967E0,1.911000061E2,3.790092468E0,2.500000000E0
1.641801054E2,6.151056714E1,2.361147596E1,1.326700409E2,1.919999957E0,1.938000031E2,3.790092468E0,2.500000000E0
1.651795189E2,6.151055197E1,2.361146232E1,1.321798550E2,1.909999967E0,1.996999969E2,3.790092468E0,2.500000000E0
1.661798045E2,6.151053709E1,2.361144512E1,1.327353235E2,1.850000024E0,2.078000031E2,3.790092468E0,2.500000000E0
1.671800913E2,6.151052308E1,2.361142346E1,1.325353603E2,2.009999990E0,2.128999939E2,3.790092468E0,2.500000000E0
1.681795029E2,6.151050961E1,2.361139846E1,1.321048676E2,1.960000038E0,2.158999939E2,3.790092468E0,2.500000000E0
1.691800462E2,6.151049683E1,2.361137282E1,1.318439920E2,1.990000010E0,2.176000061E2,3.790092468E0,2.500000000E0
1.701794975E2,6.151048394E1,2.361134905E1,1.318497181E2,1.830000043E0,2.178999939E2,3.790092468E0,2.500000000E0
1.711796190E2,6.151047042E1,2.361132658E1,1.317753656E2,1.990000010E0,2.168999939E2,3.790092468E0,2.500000000E0
1.721802292E2,6.151045583E1,2.361130421E1,1.315345694E2,2.000000000E0,2.148999939E2,3.790092468E0,2.500000000E0
1.731794935E2,6.151044094E1,2.361128344E1,1.320355333E2,1.980000019E0,2.136999969E2,3.790092468E0,2.500000000E0
1.741801453E2,6.151042606E1,2.361126315E1,1.320202008E2,2.029999971E0,2.131999969E2,3.790092468E0,2.500000000E0
1.751792844E2,6.151041101E1,2.361124253E1,1.322249609E2,2.019999981E0,2.143000031E2,3.790092468E0,2.673735142E0
1.761795827E2,6.151039600E1,2.361122181E1,1.317991669E2,1.960000038E0,2.166000061E2,3.790092468E0,2.674644470E0
1.771799447E2,6.151038154E1,2.361120063E1,1.321264251E2,2.009999990E0,2.171999969E2,3.790092468E0,2.874650717E0
1.781793577E2,6.151036785E1,2.361117838E1,1.308841037E2,1.980000019E0,2.211000061E2,3.790092468E0,2.500000000E0
1.791799185E2,6.151035378E1,2.361115729E1,1.310073827E2,2.059999943E0,2.175000000E2,3.790092468E0,2.500000000E0
1.801794238E2,6.151034047E1,2.361113719E1,1.313494123E2,1.899999976E0,2.193000031E2,3.790092468E0,2.500000000E0
1.811795437E2,6.151032834E1,2.361111862E1,1.315502075E2,1.750000000E0,2.166000061E2,3.790092468E0,2.500000000E0
1.821799508E2,6.151031658E1,2.361110076E1,1.309398459E2,1.820000052E0,2.188999939E2,3.790092468E0,2.500000000E0
1.831799080E2,6.151030512E1,2.361108247E1,1.307122359E2,1.789999962E0,2.173000031E2,3.790092468E0,2.622950315E0
1.841801094E2,6.151029349E1,2.361106443E1,1.303472967E2,1.789999962E0,2.170000000E2,3.790092468E0,2.714257479E0
1.851798387E2,6.151028165E1,2.361104464E1,1.302102626E2,1.830000043E0,2.196000061E2,3.790092468E0,2.665153265E0
1.861794372E2,6.151027186E1,2.361102649E1,1.297897828E2,1.580000043E0,2.243999939E2,3.790092468E0,2.540434122E0
1.871793540E2,6.151026146E1,2.361100858E1,1.299410189E2,1.710000038E0,2.243999939E2,3.790092468E0,2.500000000E0
1.881793740E2,6.151024969E1,2.361098919E1,1.302480766E2,1.779999971E0,2.228000031E2,3.790092468E0,2.500000000E0
1.891800448E2,6.151023912E1,2.361097152E1,1.297906700E2,1.600000024E0,2.230000000E2,3.790092468E0,2.500000000E0
1.901799535E2,6.151022950E1,2.361095551E1,1.292796143E2,1.519999981E0,2.238000031E2,3.790092468E0,2.500000000E0
1.911797916E2,6.151021958E1,2.361093823E1,1.300267371E2,1.559999943E0,2.293999939E2,3.790092468E0,2.500000000E0
1.921798051E2,6.151020991E1,2.361091958E1,1.299502516E2,1.450000048E0,2.291999969E2,3.790092468E0,2.500000000E0
1.931794256E2,6.151019962E1,2.361090072E1,1.301353622E2,1.529999971E0,2.310000000E2,3.790092468E0,2.500000000E0
1.941794652E2,6.151018845E1,2.361087974E1,1.299057992E2,1.620000005E0,2.293999939E2,3.790092468E0,2.500000000E0
1.951793190E2,6.151017582E1,2.361086017E1,1.296315574E2,1.629999995E0,2.241000061E2,3.790092468E0,2.500000000E0
1.961793187E2,6.151016238E1,2.361084334E1,1.293405915E2,1.629999995E0,2.168999939E2,3.790092468E0,2.500000000E0
1.971797662E2,6.151014901E1,2.361082750E1,1.292877238E2,1.649999976E0,2.131000061E2,3.790092468E0,2.500000000E0
1.981793872E2,6.151013555E1,2.361081207E1,1.293327564E2,1.669999957E0,2.106999969E2,3.790092468E0,2.500000000E0
1.991797690E2,6.151012229E1,2.361079566E1,1.290087706E2,1.700000048E0,2.133999939E2,3.790092468E0,2.500000000E0
2.001796140E2,6.151010936E1,2.361077875E1,1.287199413E2,1.679999948E0,2.125000000E2,3.790092468E0,2.500000000E0
2.011801431E2,6.151009717E1,2.361076093E1,1.285608122E2,1.690000057E0,2.166999969E2,3.790092468E0,2.500000000E0
2.021795201E2,6.151008522E1,2.361074182E1,1.284486804E2,1.700000048E0,2.186999969E2,3.790092468E0,2.500000000E0
2.031793794E2,6.151007221E1,2.361072152E1,1.283202512E2,1.830000043E0,2.198000031E2,3.790092468E0,2.500000000E0
2.041797580E2,6.151005831E1,2.361070131E1,1.284089845E2,1.840000033E0,2.163999939E2,3.790092468E0,2.500000000E0
2.051800142E2,6.151004360E1,2.361068296E1,1.284753783E2,1.860000014E0,2.136000061E2,3.790092468E0,2.654589415E0
2.061796303E2,6.151002710E1,2.361066690E1,1.286962508E2,1.759999990E0,2.116000061E2,3.790092468E0,2.500000000E0
2.071794184E2,6.151001112E1,2.361064928E1,1.280390719E2,1.740000010E0,2.145000000E2,3.790092468E0,2.500000000E0
2.081794924E2,6.150999618E1,2.361062978E1,1.285169035E2,1.830000043E0,2.206000061E2,3.790092468E0,2.500000000E0
2.091799080E2,6.150998144E1,2.361060855E1,1.284478601E2,1.850000024E0,2.216000061E2,3.790092468E0,2.500000000E0
2.101795256E2,6.150996745E1,2.361058686E1,1.286788051E2,1.809999943E0,2.223000031E2,3.790092468E0,2.602634668E0
2.111799737E2,6.150995334E1,2.361056420E1,1.286573696E2,1.870000005E0,2.196999969E2,3.790092468E0,2.500000000E0
